"","Year","Month","Day","Sentiment","Count","Avg_Per"
"364","2020",5,22,"negative",963732,0.440515959041667
"365","2020",5,22,"neutral",1031279,0.473324391916667
"366","2020",5,22,"positive",187626,0.08615964925
"367","2020",5,23,"negative",988809,0.461798664833333
"368","2020",5,23,"neutral",957617,0.455780021083333
"369","2020",5,23,"positive",173097,0.0824213140833333
"370","2020",5,24,"negative",1078468,0.504551906125
"371","2020",5,24,"neutral",878271,0.411594527208333
"372","2020",5,24,"positive",175900,0.0838535665416667
"373","2020",5,25,"negative",986311,0.476049787833333
"374","2020",5,25,"neutral",900565,0.4363732845
"375","2020",5,25,"positive",181828,0.087576927625
"376","2020",5,26,"negative",943470,0.461836020416667
"377","2020",5,26,"neutral",898891,0.439183802666667
"378","2020",5,26,"positive",200750,0.0989801770416667
"379","2020",5,27,"negative",984918,0.494681304208333
"380","2020",5,27,"neutral",848085,0.429601948291667
"381","2020",5,27,"positive",148590,0.0757167474166667
"382","2020",5,28,"negative",1122022,0.521981087458333
"383","2020",5,28,"neutral",862335,0.401714222708333
"384","2020",5,28,"positive",163602,0.0763046897916667
"385","2020",5,29,"negative",1241142,0.56000330525
"386","2020",5,29,"neutral",825965,0.37446474625
"387","2020",5,29,"positive",144482,0.065531948375
"388","2020",5,30,"negative",1264988,0.604350333458333
"389","2020",5,30,"neutral",694736,0.333013567083333
"390","2020",5,30,"positive",130850,0.0626360995416667
"391","2020",5,31,"negative",1320520,0.609792012791667
"392","2020",5,31,"neutral",718878,0.332407663833333
"393","2020",5,31,"positive",124468,0.0578003235416667
"394","2020",6,1,"negative",1129221,0.568677319166667
"395","2020",6,1,"neutral",738845,0.37089504525
"396","2020",6,1,"positive",119633,0.0604276355
"397","2020",6,2,"negative",993241,0.512816051791667
"398","2020",6,2,"neutral",825337,0.425185769791667
"399","2020",6,2,"positive",120688,0.0619981783333333
"400","2020",6,3,"negative",1052427,0.546613716166667
"401","2020",6,3,"neutral",735290,0.381084878375
"402","2020",6,3,"positive",138224,0.0723014054583333
"403","2020",6,4,"negative",1045597,0.550742332583333
"404","2020",6,4,"neutral",733583,0.381708270125
"405","2020",6,4,"positive",129475,0.06754939725
"406","2020",6,5,"negative",776734,0.534414477625
"407","2020",6,5,"neutral",565347,0.387635032583333
"408","2020",6,5,"positive",114832,0.0779504899583333
"409","2020",6,6,"negative",1299103,0.489688474916667
"410","2020",6,6,"neutral",1113715,0.42161707125
"411","2020",6,6,"positive",233194,0.0886944537916667
"412","2020",6,7,"negative",1387285,0.533472080375
"413","2020",6,7,"neutral",998665,0.384452881791667
"414","2020",6,7,"positive",215192,0.08207503775
"415","2020",6,8,"negative",1176269,0.464081470958333
"416","2020",6,8,"neutral",1120393,0.439295070625
"417","2020",6,8,"positive",248729,0.096623458375
"418","2020",6,9,"negative",1204569,0.446635546
"419","2020",6,9,"neutral",1244284,0.458347956208333
"420","2020",6,9,"positive",262520,0.095016497625
"421","2020",6,10,"negative",1336280,0.458818649458333
"422","2020",6,10,"neutral",1296358,0.442011351875
"423","2020",6,10,"positive",291954,0.0991699986666667
"424","2020",6,11,"negative",1321069,0.437524664
"425","2020",6,11,"neutral",1405301,0.466613897666667
"426","2020",6,11,"positive",289951,0.095861438375
"427","2020",6,12,"negative",1363457,0.454616811375
"428","2020",6,12,"neutral",1336712,0.446419252291667
"429","2020",6,12,"positive",297217,0.0989639361666667
"430","2020",6,13,"negative",1402478,0.485367694875
"431","2020",6,13,"neutral",1200707,0.415992215375
"432","2020",6,13,"positive",286161,0.098640089625
"433","2020",6,14,"negative",1450128,0.517297250416667
"434","2020",6,14,"neutral",1068296,0.384700154375
"435","2020",6,14,"positive",273345,0.098002595
"436","2020",6,15,"negative",1619914,0.502106035916667
"437","2020",6,15,"neutral",1328774,0.412837907166667
"438","2020",6,15,"positive",274508,0.0850560569166667
"439","2020",6,16,"negative",1437913,0.459014933708333
"440","2020",6,16,"neutral",1437420,0.459615246125
"441","2020",6,16,"positive",257735,0.0813698202083333
"442","2020",6,17,"negative",1443361,0.462769984833333
