"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike","NA"
"244",2,"2020_02_01_03",8235,26151,34386,13,190782,143,5608,0,"Feb"
"245",2,"2020_02_01_04",697,2913,3610,0,190829,101,1,0,"Feb"
"246",2,"2020_02_01_05",676,2762,3438,1,190879,131.5,1,0,"Feb"
"247",2,"2020_02_01_06",720,2920,3640,1,152704,94,1,0,"Feb"
"248",2,"2020_02_01_07",791,2846,3637,1,190935,69,1,0,"Feb"
"249",2,"2020_02_01_08",776,2679,3455,1,190980,63,2,0,"Feb"
"250",2,"2020_02_01_09",4800,14480,19280,6,191008,103,5790,0,"Feb"
"251",2,"2020_02_01_10",8092,24931,33023,12,191033,107,10618,0,"Feb"
"252",2,"2020_02_01_11",7869,24505,32374,7,189091,78,3365,0,"Feb"
"253",2,"2020_02_01_12",13477,39682,53159,14,213973,78,19309,0,"Feb"
"254",2,"2020_02_01_13",8869,24314,33183,12,287931,66,24856,0,"Feb"
"255",2,"2020_02_01_14",12793,37263,50056,10,191150,80,22616,0,"Feb"
"256",2,"2020_02_01_15",7352,22044,29396,6,191174,83,35732,0,"Feb"
"257",2,"2020_02_01_16",12234,35681,47915,8,213966,83,4134,0,"Feb"
"258",2,"2020_02_01_17",8230,23842,32072,4,191275,59,6179,0,"Feb"
"259",2,"2020_02_01_18",13233,35149,48382,17,191314,47,9254,0,"Feb"
"260",2,"2020_02_01_19",11539,28256,39795,13,214007,39,35760,0,"Feb"
"261",2,"2020_02_01_20",11508,27384,38892,12,191356,32,14813,0,"Feb"
"262",2,"2020_02_01_21",16700,40201,56901,10,214042,37,10697,0,"Feb"
"263",2,"2020_02_01_22",12823,32554,45377,9,191427,47,5544,0,"Feb"
"264",2,"2020_02_01_23",9198,23355,32553,14,191440,48,4006,0,"Feb"
"265",2,"2020_02_02_00",10529,27967,38496,17,191452,58,28083,0,"Feb"
"266",2,"2020_02_02_01",10723,29325,40048,17,191464,65,43588,0,"Feb"
"267",2,"2020_02_02_02",13753,39859,53612,5,191504,105,8800,0,"Feb"
"268",2,"2020_02_02_03",8416,29531,37947,5,188959,152,6880,0,"Feb"
"269",2,"2020_02_02_04",6743,27532,34275,4,189067,167,1803,0,"Feb"
"270",2,"2020_02_02_05",7445,28162,35607,6,191556,141,8667,0,"Feb"
"271",2,"2020_02_02_06",7982,30607,38589,4,213943,160,5807,0,"Feb"
"272",2,"2020_02_02_07",4650,18119,22769,6,191599,135,5959,0,"Feb"
"273",2,"2020_02_02_08",10427,33567,43994,15,287855,102,11019,0,"Feb"
"274",2,"2020_02_02_09",5455,18425,23880,0,191627,95,39297,0,"Feb"
"275",2,"2020_02_02_10",10912,36525,47437,17,189080,101,10004,0,"Feb"
"276",2,"2020_02_02_11",6465,19876,26341,7,191666,88,73698,0,"Feb"
"277",2,"2020_02_02_12",10729,33142,43871,8,189090,87,20802,0,"Feb"
"278",2,"2020_02_02_13",9302,29398,38700,21,287790,77,12185,0,"Feb"
"279",2,"2020_02_02_14",8055,27265,35320,6,191734,98,4710,0,"Feb"
"280",2,"2020_02_02_15",8459,28364,36823,4,191749,96,2999,0,"Feb"
"281",2,"2020_02_02_16",9236,30023,39259,18,287971,106,3598,0,"Feb"
"282",2,"2020_02_02_17",10739,32706,43445,9,287961,84,5399,0,"Feb"
"283",2,"2020_02_02_18",7465,21425,28890,1,191796,73,11457,0,"Feb"
"284",2,"2020_02_02_19",10782,27371,38153,9,191815,53,15713,0,"Feb"
"285",2,"2020_02_02_20",14560,34092,48652,15,287752,40,54232,0,"Feb"
"286",2,"2020_02_02_21",11578,30854,42432,10,191846,54,11324,0,"Feb"
"287",2,"2020_02_02_22",10921,31654,42575,11,214049,68,16684,0,"Feb"
"288",2,"2020_02_02_23",9518,29504,39022,7,191879,84,10904,0,"Feb"
"289",2,"2020_02_03_00",9939,29184,39123,15,290939,74,3029,0,"Feb"
"290",2,"2020_02_03_01",9493,30012,39505,7,191930,74,10127,0,"Feb"
"291",2,"2020_02_03_02",9994,30079,40073,7,191944,70,4936,0,"Feb"
"292",2,"2020_02_03_03",8079,24026,32105,3,191958,65,1639,0,"Feb"
"293",2,"2020_02_03_04",7915,22688,30603,5,188943,57,4451,0,"Feb"
"294",2,"2020_02_03_05",13061,37102,50163,19,191982,64,7918,0,"Feb"
"295",2,"2020_02_03_06",11721,32890,44611,14,83211,57,25585,0,"Feb"
"296",2,"2020_02_03_07",7565,19554,27119,11,191998,40,8394,0,"Feb"
"297",2,"2020_02_03_08",10159,22576,32735,10,191998,33,5716,0,"Feb"
"298",2,"2020_02_03_09",10239,25897,36136,4,189108,45,9375,0,"Feb"
"299",2,"2020_02_03_10",10299,26333,36632,13,287940,43,6563,0,"Feb"
"300",2,"2020_02_03_11",11432,28887,40319,10,192027,44,9028,0,"Feb"
"301",2,"2020_02_03_12",12733,31838,44571,14,213971,40,31138,0,"Feb"
"302",2,"2020_02_03_13",11889,30375,42264,12,192039,44,7254,0,"Feb"
"303",2,"2020_02_03_14",8398,23329,31727,7,192058,58,3042,0,"Feb"
"304",2,"2020_02_03_15",11359,30153,41512,7,192073,52,8225,0,"Feb"
"305",2,"2020_02_03_16",9838,27347,37185,7,287959,56,5106,0,"Feb"
"306",2,"2020_02_03_17",13443,34863,48306,7,192099,46,3091,0,"Feb"
"307",2,"2020_02_03_18",11399,28073,39472,7,287745,38,3269,0,"Feb"
"308",2,"2020_02_03_19",10291,23549,33840,6,192138,27,37842,0,"Feb"
"309",2,"2020_02_03_20",10519,23270,33789,7,214010,23,2855,0,"Feb"
"310",2,"2020_02_03_21",17903,40417,58320,20,192153,25,58432,0,"Feb"
"311",2,"2020_02_03_22",8525,21819,30344,9,287917,38,3210,0,"Feb"
"312",2,"2020_02_03_23",8461,20977,29438,5,213964,40,7381,0,"Feb"
"313",2,"2020_02_04_00",13732,34895,48627,14,192189,39,5597,0,"Feb"
"314",2,"2020_02_04_01",12652,33354,46006,21,150112,47,49881,0,"Feb"
"315",2,"2020_02_04_02",7849,20761,28610,14,189062,45,5428,0,"Feb"
"316",2,"2020_02_04_03",9319,24654,33973,15,192220,44,18248,0,"Feb"
"317",2,"2020_02_04_04",16121,42340,58461,17,192231,43,3687,0,"Feb"
"318",2,"2020_02_04_05",5569,14762,20331,2,72285,39,4372,0,"Feb"
"319",2,"2020_02_04_06",17184,42661,59845,23,192239,41,6209,0,"Feb"
"320",2,"2020_02_04_07",5849,14828,20677,7,192248,37,1213,0,"Feb"
"321",2,"2020_02_04_08",19511,42764,62275,13,192261,32,5968,0,"Feb"
"322",2,"2020_02_04_09",4194,10618,14812,8,192262,38,10194,0,"Feb"
"323",2,"2020_02_04_10",16008,39213,55221,19,213978,39,3119,0,"Feb"
"324",2,"2020_02_04_11",12897,33279,46176,12,150082,42,4490,0,"Feb"
"325",2,"2020_02_04_12",11246,27250,38496,14,192292,32,21625,0,"Feb"
"326",2,"2020_02_04_13",12278,29220,41498,13,287904,32,12010,0,"Feb"
"327",2,"2020_02_04_14",12047,29270,41317,7,192314,33,19814,0,"Feb"
